time,p2p 0.1d %,p2p 0.2d %,p2p 0.3d %,p2p 0.4d %,p2p 0.5d %,p2p 0.8d %,,cs 0.1d %,cs 0.2d %,cs 0.3d %,cs 0.4d %,cs 0.5d %
0,0,0,0,0,0,0,,0,0,0,0,0
1000,0.563865546,0.539162113,0.514942529,0.412380952,0.311111111,0.148092369,,0.625377644,0.612382629,0.506734007,0.346354167,0.278645833
2000,0.671708683,0.57346691,0.547126437,0.446031746,0.348245614,0.157630522,,0.66163142,0.662852113,0.535634119,0.392903646,0.307942708
3000,0.683193277,0.579538555,0.552873563,0.453650794,0.35497076,0.157630522,,0.664652568,0.674295775,0.544051627,0.403971354,0.31640625
4000,0.688235294,0.585913783,0.562643678,0.461269841,0.362573099,0.15813253,,0.66918429,0.688086854,0.554433221,0.416015625,0.325520833
5000,0.693837535,0.593503339,0.570977011,0.474920635,0.369883041,0.159136546,,0.672205438,0.701877934,0.563411897,0.431315104,0.333333333
6000,0.69859944,0.603825137,0.582471264,0.487936508,0.378654971,0.160140562,,0.675226586,0.713615023,0.574354658,0.442708333,0.342122396
7000,0.703081232,0.611111111,0.593965517,0.502539683,0.384795322,0.161144578,,0.679758308,0.723591549,0.58698092,0.45703125,0.349934896
8000,0.707282913,0.617789921,0.60316092,0.516190476,0.391520468,0.161646586,,0.682779456,0.735035211,0.595117845,0.465494792,0.359049479
9000,0.71232493,0.623254402,0.611781609,0.526984127,0.401461988,0.162650602,,0.690332326,0.747359155,0.604096521,0.476236979,0.369466146
10000,0.718767507,0.629933212,0.61954023,0.539047619,0.411403509,0.163654618,,0.6918429,0.76056338,0.613916947,0.487955729,0.378255208
11000,0.723809524,0.637826351,0.630172414,0.548571429,0.421637427,0.164658635,,0.69939577,0.773474178,0.625140292,0.499348958,0.389973958
12000,0.728571429,0.648148148,0.640804598,0.559365079,0.42748538,0.166164659,,0.69939577,0.784037559,0.637485971,0.512044271,0.398763021
13000,0.733053221,0.657862781,0.652873563,0.571111111,0.433040936,0.167670683,,0.703927492,0.792840376,0.652356902,0.526367188,0.408528646
14000,0.73837535,0.667273831,0.668678161,0.581269841,0.44122807,0.167670683,,0.703927492,0.799589202,0.661335578,0.537434896,0.417317708
15000,0.743977591,0.674863388,0.677011494,0.593015873,0.45,0.168674699,,0.711480363,0.808685446,0.673400673,0.545572917,0.427408854
16000,0.749579832,0.682149362,0.688505747,0.601587302,0.455263158,0.169176707,,0.717522659,0.814553991,0.682940516,0.561197917,0.436197917
17000,0.753501401,0.689738919,0.699425287,0.611746032,0.461695906,0.170180723,,0.719033233,0.819835681,0.694444444,0.573893229,0.444661458
18000,0.758263305,0.699757134,0.70862069,0.622539683,0.46754386,0.171184739,,0.725075529,0.826584507,0.706790123,0.585286458,0.451822917
19000,0.762464986,0.707650273,0.718678161,0.633650794,0.475146199,0.172690763,,0.729607251,0.833333333,0.716049383,0.600260417,0.461263021
20000,0.769467787,0.713721919,0.729310345,0.642857143,0.48245614,0.173694779,,0.734138973,0.840669014,0.727833895,0.613932292,0.472005208
21000,0.775630252,0.721615058,0.740517241,0.653333333,0.489473684,0.174196787,,0.738670695,0.846537559,0.739337823,0.626953125,0.479817708
22000,0.778711485,0.729811779,0.749712644,0.665079365,0.494152047,0.175702811,,0.744712991,0.848884977,0.749158249,0.638346354,0.487630208
23000,0.780672269,0.734365513,0.754022989,0.674603175,0.500877193,0.176706827,,0.744712991,0.851819249,0.754769921,0.643554688,0.495117188
24000,0.781512605,0.7380085,0.757471264,0.682222222,0.507309942,0.177208835,,0.744712991,0.855340376,0.758978676,0.649414063,0.503580729
25000,0.781792717,0.740740741,0.761494253,0.687936508,0.513450292,0.177710843,,0.746223565,0.857687793,0.761503928,0.657226563,0.510416667
26000,0.782072829,0.743776563,0.764655172,0.693333333,0.517836257,0.178212851,,0.747734139,0.859448357,0.764309764,0.663411458,0.517252604
27000,0.782072829,0.745294475,0.767816092,0.698412698,0.522807018,0.178714859,,0.750755287,0.86120892,0.768518519,0.671223958,0.523763021
28000,0.782352941,0.74863388,0.770977011,0.703809524,0.526315789,0.179216867,,0.753776435,0.862382629,0.772727273,0.676757813,0.530924479
29000,0.782633053,0.749848209,0.773850575,0.70952381,0.529239766,0.179718876,,0.753776435,0.86443662,0.776094276,0.683919271,0.537109375
30000,0.782633053,0.751669702,0.777011494,0.716190476,0.531871345,0.180220884,,0.755287009,0.867370892,0.778338945,0.689127604,0.544270833
31000,0.783193277,0.754098361,0.779597701,0.72031746,0.535964912,0.180722892,,0.755287009,0.868251174,0.781705948,0.693359375,0.549479167
32000,0.784033613,0.755616272,0.782183908,0.724761905,0.541520468,0.180722892,,0.755287009,0.870305164,0.785634119,0.699544271,0.555338542
33000,0.784593838,0.757437766,0.785057471,0.72952381,0.545906433,0.1812249,,0.755287009,0.870892019,0.789001122,0.703776042,0.560546875
34000,0.784593838,0.760473588,0.788505747,0.735873016,0.549707602,0.181726908,,0.756797583,0.873532864,0.791526375,0.708984375,0.564778646
35000,0.784593838,0.762902247,0.791091954,0.743492063,0.555263158,0.181726908,,0.756797583,0.874413146,0.79349046,0.714192708,0.567708333
36000,0.78487395,0.765027322,0.793390805,0.748888889,0.560526316,0.182228916,,0.759818731,0.876173709,0.795454545,0.719075521,0.573567708
37000,0.785714286,0.767152398,0.796551724,0.753968254,0.564619883,0.182730924,,0.762839879,0.878521127,0.797418631,0.722981771,0.580729167
38000,0.78627451,0.769277474,0.8,0.761269841,0.56871345,0.183232932,,0.762839879,0.879401408,0.800785634,0.729166667,0.587890625
39000,0.78627451,0.772009715,0.804022989,0.768571429,0.572807018,0.18373494,,0.764350453,0.882042254,0.804433221,0.734700521,0.592447917
40000,0.786834734,0.774134791,0.807758621,0.773968254,0.576608187,0.184236948,,0.764350453,0.882922535,0.807239057,0.739583333,0.598307292
41000,0.786834734,0.775956284,0.811781609,0.781269841,0.580994152,0.184738956,,0.765861027,0.884389671,0.811447811,0.745768229,0.604817708
42000,0.786834734,0.778384942,0.813793103,0.785079365,0.58625731,0.185240964,,0.765861027,0.886443662,0.814253648,0.749023438,0.610351563
43000,0.787114846,0.779599271,0.814655172,0.787301587,0.59005848,0.185742972,,0.765861027,0.887323944,0.8167789,0.751953125,0.617838542
44000,0.787114846,0.780510018,0.815517241,0.791746032,0.594444444,0.185742972,,0.765861027,0.888204225,0.820707071,0.755208333,0.624674479
45000,0.787114846,0.781724347,0.81637931,0.794285714,0.596783626,0.18624498,,0.765861027,0.889084507,0.822671156,0.758138021,0.627929688
46000,0.787114846,0.78202793,0.817528736,0.796190476,0.600292398,0.187248996,,0.765861027,0.889084507,0.825757576,0.760416667,0.630533854
47000,0.787114846,0.782331512,0.818103448,0.797777778,0.604093567,0.187751004,,0.765861027,0.889377934,0.827721661,0.762369792,0.635416667
48000,0.787394958,0.782635094,0.818390805,0.8,0.607017544,0.188253012,,0.765861027,0.889964789,0.830527497,0.764648438,0.638997396
49000,-0.212605042,0.783242259,0.819827586,0.801587302,0.611111111,0.18875502,,0.765861027,0.89084507,0.831930415,0.766927083,0.642578125
50000,-0.212605042,0.783849423,0.820402299,0.803809524,0.614327485,0.189257028,,0.765861027,0.891138498,0.834455668,0.769205729,0.646158854
51000,-0.212605042,0.784456588,0.820977011,0.805396825,0.617836257,0.190261044,,0.765861027,0.891725352,0.836139169,0.771484375,0.648763021
52000,-0.212605042,0.784456588,0.821264368,0.807936508,0.621345029,0.190763052,,0.765861027,0.891725352,0.838103255,0.7734375,0.652669271
53000,-0.212605042,0.784456588,0.821551724,0.80984127,0.625146199,0.19126506,,0.765861027,0.891725352,0.841189675,0.774414063,0.656575521
54000,-0.212605042,0.78476017,0.822126437,0.811746032,0.628362573,0.191767068,,0.765861027,0.891725352,0.842592593,0.776041667,0.658528646
55000,-0.212605042,0.785063752,0.822126437,0.813650794,0.631578947,0.192269076,,0.765861027,0.892312207,0.842873176,0.77734375,0.662434896
56000,-0.212605042,0.785670917,0.822126437,0.814920635,0.634210526,0.192269076,,0.765861027,0.892899061,0.844837262,0.779296875,0.665039063
57000,-0.212605042,0.785974499,0.822701149,0.816825397,0.635964912,0.192771084,,0.765861027,0.893779343,0.847643098,0.78125,0.668945313
