Topology,clientServer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport,UDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responce heuristic,always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packet Dropping,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Markov dropping,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connection lose rate,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reconnect rate,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Packet drop rate (if not markov),0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This device:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent,66580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,67584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requests sent,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requests received,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requests responded to,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packets dropped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,2594,3631,4660,5692,6764,7812,8883,9946,10997,12055,13124,14152,15202,16260,17319,18378,19440,20491,21515,22577,23612,24644,25685,26754,27789,28849,29897,30937,31971,33031,34054,35142,36187,37231,38277,39303,40364,41397,42419,43465,44508,45561,46594,47644,48675,49712,50764,51811,52857,53890,54918,55969,57007,58046,59099,60135,61195,62243,63266
Device 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,2594,3631,4660,5692,6764,7812,8883,9946,10997,12055,13124,14152,15202,16260,17319,18378,19440,20491,21515,22577,23612,24645,25685,26754,27789,28849,29897,30937,31971,33031,34054,35142,36187,37231,38277,39303,40364,41397,42419,43466,44508,45561,46594,47644,48675,49712,50764,51811,52857,53891,54918,55969,57008,58046,59099,60136,61195,62243,63266
Device 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,3799,4907,6299,6319,8904,8973,10282,11444,14108,14128,16824,16851,19272,19289,22283,23447,24687,26088,27352,27371,28633,30062,31425,33928,33947,36571,36588,37688,38901,41328,41351,43908,43927,46746,46766,48110,50929,52296,52314,53694,54993,56277,57546,58918,61529,61550,62894,64501,65715,67208,68464,69702,70939,72206,73542,74841,75969,77254,78529
