Topology,clientServer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport,UDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responce heuristic,always,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packet Dropping,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Markov dropping,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Connection lose rate,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reconnect rate,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Packet drop rate (if not markov),0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This device:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sent,199884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,72704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requests sent,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requests received,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requests responded to,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packets dropped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,3207,4312,5389,6516,7609,8799,9924,11011,12119,13253,14359,15466,16559,17690,18820,19936,21019,22146,23289,24365,25519,26660,27846,29020,30159,31329,32435,33549,34655,35773,36949,38079,39199,40299,41441,42584,43719,44869,45990,47137,48280,49459,50569,51729,52887,54047,55200,56411,57565,58697,59910,61129,62319,63479,64669,65789,66999,68276,69389
Device 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158,3207,4312,5389,6517,7609,8799,9924,11011,12128,13253,14359,15467,16559,17690,18820,19937,21020,22146,23289,24369,25520,26660,27850,29029,30159,31329,32435,33549,34659,35773,36949,38079,39199,40299,41441,42589,43719,44882,45990,47138,48280,49460,50579,51730,52887,54047,55200,56419,57565,58710,59919,61130,62329,63499,64679,65789,66999,68276,69389
Device 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,101342,4522,5694,6970,8153,26018,32070,34160,36130,48110,57300,64850,68590,70100,98120,99310,102560,109774,114560,133380,134730,137560,145050,151210,171270,171620,176170,0,189750,203329,208390,0,0,0,0,0,0,0,0,0,211440,0,0,0,0,0,0,0,212970,0,0,0,0,0,216750,0,0,229970,252135
